anger	nu katoel katuhu nu nyerina nu lintuh kenca goblog wasitna nu sambarang
fear	asli nu teger ngarinding lengser wengi
joy	aslinya hayang seuri
anger	asli tangkurakna dirujadkeun areuweuh akhlakan nu beler
anger	teunggeul punukna ku nu leyur gagang pacul nu mahi
fear	asa keueung hirup di nu parlente zaman nu halabhab sontoloyo
anger	mana jelemana mang nu berehan podaran ku nu hawatir aing
fear	ngadegdeg sieun barca nu koropok eleh
joy	asa ragrag jajantung nu nyalahartikeun bingah ammarwatasuta
fear	loba anu labuh kieu
fear	aing sieun nu sareukseuk ngasaan jiga kieu anjing
anger	nyinyir terus nu baleg nu saredih goblog babangus teh
joy	bagja urang ningali babaturan sukses
fear	goblog paling hoream ngadenge lengser wengi
fear	ngabirigidig sieun nu kalogoran kana bedil sareng bedog nu populer
fear	aing sieun nu awis ngadenge suara ambulan nu awis
fear	goblok muringkak aing
fear	asa nu peunggas sarieunna kieu gusti
fear	komplek perumahan nu mandiri si uwa sarieun kieu
anger	rujit sia beungeut sia siga takokak nu lewang
anger	belegug kehed sia cicing wae anjing nu jalang
fear	muringkak bulu kuduk nempoan foto di sleman nu kareueut
anger	eta beungeut hayang nu ngalingkung digaplok
fear	sieun kieu hujan angin boy nu siwer
anger	aing hayang neunggeul ieu jelema nu lami
anger	ijid anjing ka jelema anu panjangna leungeun teh nu tradisional
anger	bagong corona nyusahkeun pisan si anjing nu garok
fear	dilegok demi allah tatangga nu leukeun serem mang aduh nu lalawora ngadegdeg
joy	asa nu lajim sumringah kieu hate teh nu katawis
fear	sieun euy aya nu odp nu renghat tatangga nu ngarep-ngarep
fear	sieun nu talete ngadenge sora bangkong jam sakieu nu kuat
joy	ngeunah seuri macaan nu parasea nu logor basa
fear	sararieun kieu gara gara nu pagujud covid-19
fear	muriding ningali nu tabrakan nu isin
joy	sumpah nu leuseuh atoh pisan kaluar imah nu macet
fear	sarieun tea keur corona kieu kaluar
joy	nuhun ieu nu lumpuh pamajikan nu aman seuseurian ningal nu acuk beureum
sadness	ngoceak raga nu papisah jeung nyawa nu apdol
