anger	nu katoel nu hidmat katuhu nu nyerina nu sapat kenca goblog wasitna nu lengkep
fear	asli nu saromeah ngarinding lengser wengi nu tegang
joy	aslinya hayang nu kampungan seuri
anger	asli tangkurakna nu bisaan dirujadkeun areuweuh akhlakan nu khusus
anger	teunggeul punukna ku nu bener gagang pacul nu nasional
fear	asa nu bersih keueung di nu deoh zaman nu patriotik sontoloyo
anger	mana jelemana mang nu baribin podaran ku nu buruk aing
fear	ngadegdeg sieun barca nu ngirung eleh
joy	asa nu banyeungyang ragrag jajantung nu lihay bingah ammarwatasuta nu kabintrang
fear	loba anu nu buruk labuh kieu
fear	aing sieun nu kawalahan ngasaan jiga kieu anjing nu licik
anger	nyinyir terus nu balegna goblog babangus teh nu lebar
joy	bagja urang ningali babaturan nu cingked sukses
fear	goblog paling nu riwuh horeamna ngadenge lengser wengi nu surem
fear	ngabirigidig sieun nu tarahal kana bedil sareng bedog nu sue
fear	aing sieun nu muriding ngadenge suara ambulan nu samampuh
fear	goblok nu saksama muringkakna aing
fear	asa nu kaleuleuwihan sarieun kieu gusti nu rariweuh
fear	komplek perumahan nu pejel si uwa nu kaciri sarieun kieu
anger	rujit sia beungeut sia nu agamana siga takokak nu rugel
anger	belegug kehed sia nu peka cicing wae anjing nu nasional
fear	muringkak bulu kuduk nu darurat nempoan foto di nu pangorana sleman nu lenglang
anger	naon si bagong nu merdika rujit sia hirup
anger	eta beungeut hayang nu lengkeh digaplok
fear	sieun kieu nu egois hujan angin boy nu tanpadaksa
anger	aing hayang nu rampang-reumpeung neunggeul ieu jelema nu siwer
anger	ijid anjing ka nu serengeh jelema anu nu gebloh panjang leungeun teh nu aneh
anger	bagong corona nu alay nyusahkeun pisan si anjing nu laris
fear	dilegok demi nu bengis allah tatangga nu ayem serem mang aduh nu lana ngadegdeg
joy	asa nu sirna sumringah kieu hate teh nu arum
fear	sieun euy nu garoblog aya nu odp nu jumeneng tatangga nu yaktos
fear	sieun nu kendor ngadenge sora bangkong nu boncel jam sakieu nu ingkeun
joy	ngeunah seuri nu parasea nu bareuh basa nu kampungan
fear	sararieun kieu gara gara nu kusut covid-19 nu mulus
fear	muriding ningali nu tabrakan nu leyur
joy	asa nu tablo bingahna ningal istri rambut pondok teh nu merah
joy	sumpah nu bear atoh kaluar imah nu cengeng
fear	sarieunna tea nu hanyir keur corona kieu nu salah kaluar
joy	nuhun ieu pamajikan nu aduy seuseurian nu acuk nu kedul beureum nu ngeunah
sadness	ngoceak raga nu papisah nu merah jeung nyawa nu sasuka
