anger	goblog nu katoel katuhu nu nyerina kenca wasitna
anger	teunggeul punukna ku gagang pacul
fear	sontoloyo asa keueung hirup di zaman
anger	mana jelemana mang podaran ku aing
joy	bingah asa ragrag jajantung ammarwatasuta
anger	nyinyir terus nu baleg goblog babangus teh
joy	bagja urang ningali babaturan sukses
fear	komplek perumahan si uwa sarieun kieu
anger	ijid anjing ka jelema anu sok panjang leungeun teh
anger	pisan bagong corona nyusahkeun si anjing
fear	ngadegdeg dilegok demi allah tatangga serem mang aduh
joy	ngeunah seuri macaan nu parasea beda basa
fear	sarieun tea keur corona kieu kaluar
sadness	jeung nyawa ngoceak ningali raga nu papisah
